ADDRESS,CAMERA ID,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
7738 S WESTERN,CHI065,07/08/2014,65,,,,,
1111 N HUMBOLDT,CHI010,07/16/2014,56,,,,,
5520 S WESTERN,CHI069,07/08/2014,10,,,,,
1111 N HUMBOLDT,CHI010,07/26/2014,101,,,,,
1111 N HUMBOLDT,CHI010,07/27/2014,92,,,,,
5529 S WESTERN,CHI068,08/03/2014,20,,,,,
1111 N HUMBOLDT,CHI010,07/30/2014,66,,,,,
5520 S WESTERN,CHI069,07/28/2014,18,,,,,
5520 S WESTERN,CHI069,07/16/2014,17,,,,,
5520 S WESTERN,CHI069,07/24/2014,11,,,,,
5529 S WESTERN,CHI068,07/09/2014,10,,,,,
5520 S WESTERN,CHI069,07/25/2014,14,,,,,
5529 S WESTERN,CHI068,07/17/2014,3,,,,,
5529 S WESTERN,CHI068,07/11/2014,12,,,,,
5520 S WESTERN,CHI069,07/15/2014,21,,,,,
1111 N HUMBOLDT,CHI010,07/08/2014,80,,,,,
1111 N HUMBOLDT,CHI010,07/14/2014,68,,,,,
5520 S WESTERN,CHI069,07/03/2014,23,,,,,
1111 N HUMBOLDT,CHI010,07/12/2014,83,,,,,
7739 S WESTERN,CHI064,07/10/2014,73,,,,,
1111 N HUMBOLDT,CHI010,07/17/2014,69,,,,,
5520 S WESTERN,CHI069,07/27/2014,21,,,,,
1111 N HUMBOLDT,CHI010,07/02/2014,75,,,,,
5529 S WESTERN,CHI068,07/02/2014,9,,,,,
1111 N HUMBOLDT,CHI010,07/04/2014,102,,,,,
1111 N HUMBOLDT,CHI010,08/11/2014,65,,,,,
7738 S WESTERN,CHI065,07/16/2014,49,,,,,
5529 S WESTERN,CHI068,07/20/2014,25,,,,,
5529 S WESTERN,CHI068,07/10/2014,19,,,,,
5529 S WESTERN,CHI068,07/21/2014,21,,,,,
5529 S WESTERN,CHI068,07/29/2014,10,,,,,
5520 S WESTERN,CHI069,07/18/2014,18,,,,,
7738 S WESTERN,CHI065,07/15/2014,42,,,,,
5520 S WESTERN,CHI069,08/02/2014,59,,,,,
1111 N HUMBOLDT,CHI010,07/10/2014,93,,,,,
5529 S WESTERN,CHI068,07/19/2014,22,,,,,
5520 S WESTERN,CHI069,07/13/2014,20,,,,,
5529 S WESTERN,CHI068,07/22/2014,21,,,,,
5520 S WESTERN,CHI069,07/30/2014,21,,,,,
5520 S WESTERN,CHI069,07/31/2014,23,,,,,
5520 S WESTERN,CHI069,08/01/2014,22,,,,,
7739 S WESTERN,CHI064,07/18/2014,63,,,,,
5520 S WESTERN,CHI069,07/23/2014,16,,,,,
1111 N HUMBOLDT,CHI010,08/05/2014,71,,,,,
1111 N HUMBOLDT,CHI010,08/08/2014,87,,,,,
5529 S WESTERN,CHI068,08/08/2014,15,,,,,
1111 N HUMBOLDT,CHI010,08/07/2014,85,,,,,
1111 N HUMBOLDT,CHI010,08/06/2014,68,,,,,
5529 S WESTERN,CHI068,07/24/2014,13,,,,,
5529 S WESTERN,CHI068,07/18/2014,18,,,,,
5520 S WESTERN,CHI069,07/26/2014,22,,,,,
1111 N HUMBOLDT,CHI010,07/28/2014,78,,,,,
7738 S WESTERN,CHI065,07/17/2014,79,,,,,
5529 S WESTERN,CHI068,07/25/2014,12,,,,,
1111 N HUMBOLDT,CHI010,07/19/2014,96,,,,,
1111 N HUMBOLDT,CHI010,07/15/2014,81,,,,,
5520 S WESTERN,CHI069,08/11/2014,33,,,,,
1111 N HUMBOLDT,CHI010,07/22/2014,77,,,,,
1111 N HUMBOLDT,CHI010,08/10/2014,80,,,,,
7738 S WESTERN,CHI065,07/09/2014,58,,,,,
1111 N HUMBOLDT,CHI010,07/11/2014,85,,,,,
5520 S WESTERN,CHI069,07/19/2014,13,,,,,
5520 S WESTERN,CHI069,08/10/2014,44,,,,,
1111 N HUMBOLDT,CHI010,07/21/2014,84,,,,,
1111 N HUMBOLDT,CHI010,07/09/2014,65,,,,,
7738 S WESTERN,CHI065,07/01/2014,32,,,,,
5520 S WESTERN,CHI069,07/20/2014,28,,,,,
7738 S WESTERN,CHI065,07/14/2014,58,,,,,
1111 N HUMBOLDT,CHI010,08/01/2014,84,,,,,
7738 S WESTERN,CHI065,07/11/2014,55,,,,,
5529 S WESTERN,CHI068,07/03/2014,2,,,,,
5520 S WESTERN,CHI069,07/02/2014,16,,,,,
1111 N HUMBOLDT,CHI010,08/02/2014,111,,,,,
5520 S WESTERN,CHI069,07/10/2014,18,,,,,
5520 S WESTERN,CHI069,07/07/2014,19,,,,,
5529 S WESTERN,CHI068,07/06/2014,39,,,,,
5520 S WESTERN,CHI069,07/12/2014,7,,,,,
5529 S WESTERN,CHI068,08/10/2014,19,,,,,
5520 S WESTERN,CHI069,07/22/2014,12,,,,,
5520 S WESTERN,CHI069,08/06/2014,42,,,,,
5529 S WESTERN,CHI068,07/27/2014,15,,,,,
5529 S WESTERN,CHI068,07/05/2014,27,,,,,
5520 S WESTERN,CHI069,07/01/2014,21,,,,,
5520 S WESTERN,CHI069,07/06/2014,20,,,,,
5529 S WESTERN,CHI068,08/01/2014,4,,,,,
5520 S WESTERN,CHI069,07/05/2014,15,,,,,
5529 S WESTERN,CHI068,07/08/2014,6,,,,,
1111 N HUMBOLDT,CHI010,08/04/2014,62,,,,,
5520 S WESTERN,CHI069,07/21/2014,16,,,,,
5520 S WESTERN,CHI069,08/03/2014,47,,,,,
7739 S WESTERN,CHI064,07/09/2014,69,,,,,
5520 S WESTERN,CHI069,07/29/2014,9,,,,,
7739 S WESTERN,CHI064,07/14/2014,71,,,,,
7739 S WESTERN,CHI064,07/08/2014,78,,,,,
1111 N HUMBOLDT,CHI010,07/31/2014,95,,,,,
5520 S WESTERN,CHI069,07/17/2014,31,,,,,
5529 S WESTERN,CHI068,08/02/2014,8,,,,,
7738 S WESTERN,CHI065,07/07/2014,65,,,,,
